[1] 9040
1:0:d=2016042018:UGRD:planetary boundary layer:anl:
2:93399:d=2016042018:VGRD:planetary boundary layer:anl:
3:188841:d=2016042018:VRATE:planetary boundary layer:anl:
4:282936:d=2016042018:GUST:surface:anl:
258:46998766:d=2016042018:PRES:max wind:anl:
259:47410910:d=2016042018:ICAHT:max wind:anl:
260:47829002:d=2016042018:HGT:max wind:anl:
261:48246936:d=2016042018:UGRD:max wind:anl:
262:48417627:d=2016042018:VGRD:max wind:anl:
263:48593944:d=2016042018:TMP:max wind:anl:
264:48801321:d=2016042018:TMP:80 m above ground:anl:
265:48884302:d=2016042018:SPFH:80 m above ground:anl:
266:49088003:d=2016042018:PRES:80 m above ground:anl:
267:49346842:d=2016042018:UGRD:80 m above ground:anl:
268:49617570:d=2016042018:VGRD:80 m above ground:anl:
269:49883072:d=2016042018:TMP:100 m above ground:anl:
270:49964320:d=2016042018:UGRD:100 m above ground:anl:
271:50235140:d=2016042018:VGRD:100 m above ground:anl:
272:50501157:d=2016042018:TMP:1829 m above mean sea level:anl:
273:50660388:d=2016042018:UGRD:1829 m above mean sea level:anl:
274:50845819:d=2016042018:VGRD:1829 m above mean sea level:anl:
275:51034487:d=2016042018:TMP:2743 m above mean sea level:anl:
276:51189376:d=2016042018:UGRD:2743 m above mean sea level:anl:
277:51474539:d=2016042018:VGRD:2743 m above mean sea level:anl:
278:51768899:d=2016042018:TMP:3658 m above mean sea level:anl:
279:51918422:d=2016042018:UGRD:3658 m above mean sea level:anl:
280:52200590:d=2016042018:VGRD:3658 m above mean sea level:anl:
281:52485479:d=2016042018:HGT:0C isotherm:anl:
282:52743438:d=2016042018:RH:0C isotherm:anl:
283:52889489:d=2016042018:HGT:highest tropospheric freezing level:anl:
284:53146360:d=2016042018:RH:highest tropospheric freezing level:anl:
285:53292500:d=2016042018:TMP:30-0 mb above ground:anl:
286:53373840:d=2016042018:RH:30-0 mb above ground:anl:
287:53503240:d=2016042018:SPFH:30-0 mb above ground:anl:
288:53808824:d=2016042018:UGRD:30-0 mb above ground:anl:
289:54078644:d=2016042018:VGRD:30-0 mb above ground:anl:
290:54344099:d=2016042018:4LFTX:surface:anl:
291:54499334:d=2016042018:CAPE:180-0 mb above ground:anl:
292:54664752:d=2016042018:CIN:180-0 mb above ground:anl:
293:54769463:d=2016042018:HPBL:surface:anl:
294:55173408:d=2016042018:RH:0.33-1 sigma layer:anl:
295:55298099:d=2016042018:RH:0.44-1 sigma layer:anl:
296:55421740:d=2016042018:RH:0.72-0.94 sigma layer:anl:
297:55554822:d=2016042018:RH:0.44-0.72 sigma layer:anl:
298:55686131:d=2016042018:TMP:0.995 sigma level:anl:
299:55834753:d=2016042018:POT:0.995 sigma level:anl:
300:56068160:d=2016042018:RH:0.995 sigma level:anl:
301:56197609:d=2016042018:UGRD:0.995 sigma level:anl:
302:56467308:d=2016042018:VGRD:0.995 sigma level:anl:
303:56731094:d=2016042018:VVEL:0.995 sigma level:anl:
304:57016581:d=2016042018:CAPE:255-0 mb above ground:anl:
305:57173554:d=2016042018:CIN:255-0 mb above ground:anl:
306:57274632:d=2016042018:PLPL:255-0 mb above ground:anl:
307:57547848:d=2016042018:LAND:surface:anl:
308:57561084:d=2016042018:ICEC:surface:anl:
309:57585187:d=2016042018:UGRD:PV=2e-06 (Km^2/kg/s) surface:anl:
310:57701731:d=2016042018:VGRD:PV=2e-06 (Km^2/kg/s) surface:anl:
311:57815637:d=2016042018:TMP:PV=2e-06 (Km^2/kg/s) surface:anl:
312:57983122:d=2016042018:HGT:PV=2e-06 (Km^2/kg/s) surface:anl:
313:58186953:d=2016042018:PRES:PV=2e-06 (Km^2/kg/s) surface:anl:
314:58386808:d=2016042018:VWSH:PV=2e-06 (Km^2/kg/s) surface:anl:
315:58525560:d=2016042018:UGRD:PV=-2e-06 (Km^2/kg/s) surface:anl:
316:58640240:d=2016042018:VGRD:PV=-2e-06 (Km^2/kg/s) surface:anl:
317:58753477:d=2016042018:TMP:PV=-2e-06 (Km^2/kg/s) surface:anl:
318:58918965:d=2016042018:HGT:PV=-2e-06 (Km^2/kg/s) surface:anl:
319:59123902:d=2016042018:PRES:PV=-2e-06 (Km^2/kg/s) surface:anl:
320:59323885:d=2016042018:VWSH:PV=-2e-06 (Km^2/kg/s) surface:anl:
321:59463298:d=2016042018:PRMSL:mean sea level:anl:
322:59659471:d=2016042018:5WAVH:500 mb:anl:
1:0:d=2016042018:UGRD:planetary boundary layer:3 hour fcst:
2:171273:d=2016042018:VGRD:planetary boundary layer:3 hour fcst:
3:343347:d=2016042018:VRATE:planetary boundary layer:3 hour fcst:
4:435740:d=2016042018:GUST:surface:3 hour fcst:
5:614331:d=2016042018:HGT:10 mb:3 hour fcst:
6:792694:d=2016042018:TMP:10 mb:3 hour fcst:
7:860495:d=2016042018:RH:10 mb:3 hour fcst:
8:918083:d=2016042018:UGRD:10 mb:3 hour fcst:
9:1023799:d=2016042018:VGRD:10 mb:3 hour fcst:
10:1129087:d=2016042018:ABSV:10 mb:3 hour fcst:
11:1251133:d=2016042018:O3MR:10 mb:3 hour fcst:
12:1379813:d=2016042018:HGT:20 mb:3 hour fcst:
13:1558646:d=2016042018:TMP:20 mb:3 hour fcst:
14:1626247:d=2016042018:RH:20 mb:3 hour fcst:
15:1698940:d=2016042018:UGRD:20 mb:3 hour fcst:
16:1810202:d=2016042018:VGRD:20 mb:3 hour fcst:
